<<<<<<< HEAD
<<<<<<< HEAD
Todd, Moline, 1, 39, MSLS, 5EP0b1, 11-06-2016
Bill, Quincy, 2, 70, MBA, RFZemf, 11-06-2016
Helen, Solon, 4, 112, Theology, VSfnKP, 11-06-2016
Eric, Philadelphia, 2, 27, Engineering, r8WmEi, 11-06-2016
Sue, Peoria, 2, 24, History, uuRGnc, 11-06-2016
Juan, Mexico City, 1, 21, Computer Science, ndrlcq, 11-06-2016
=======
Ray, Brooklyn, 1, 17, Film, fkHruv, 2016-11-16
>>>>>>> 36c703702374e62710ec2f744bce33cba91a01da
=======
Ray, Brooklyn, 1, 17, Film, fkHruv, 2016-11-16
>>>>>>> 4d908ef2e5c2f130fe040bd6386953a0f7efb9c1
